UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12,STAT_SFA,LOCK_SFA,PRCH_SFA,IDX_SFA,PCSFA_F,IMP_SFA,SFAFORM,STAT_GR,LOCK_GR,PRCH_GR,IDX_GR,PCGR_F,IMP_GR,COHRTSTU,STAT_GR2,LOCK_GR2,PRCH_GR2,IDX_GR2,PCGR2_F,IMP_GR2,STAT_OM,LOCK_OM,PRCH_OM,IDX_OM,PCOM_F,IMP_OM,STAT_ADM,LOCK_ADM,IMP_ADM,STAT_HR,LOCK_HR,PRCH_HR,IDX_HR,PCHR_F,IMP_HR,FTEMP15,TENURSYS,SA_EXCL,STAT_EAP,STAT_SA,STAT_S,STAT_EF,LOCK_EF,PRCH_EF,IDX_EF,PCEF_F,IMP_EF,PTA99_EF,PTACIPEF,PTB_EF,PTC_EF,PTD_EF,STAT_F,LOCK_F,PRCH_F,IDX_F,PCF_F,IMP_F,FORM_F,FYBEG,FYEND,GPFS,F1GASBAL,F2PELL,F3PELL,F_ATHLTC,F3BIST,STAT_AL,LOCK_AL,PRCH_AL,IDX_AL,PCAL_F,IMP_AL,HASAL,NTRLDSTR,REV_IC,REV_C,REV_E12,REV_SFA,REV_GR,REV_GR2,REV_OM,REV_ADM,REV_HR,REV_EF,REV_F,REV_AL,OMFLG1GR,OMFLG2GR,OMFLG3GR,OMFLG4,OMFLG5,OMFLG6GR
100654,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,1,8,-2,-2,.,-2,4,"102014","092015",1,3,-2,-2,2,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-2,0,-2,0,0,0
100663,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,1,8,-2,-2,.,-2,4,"102014","092015",1,1,-2,-2,1,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,0,0,0,0
100690,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,-2,-2,-2,1,8,-2,-2,.,-2,1,2,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,1,8,-2,-2,.,-2,2,"072014","062015",1,-2,1,-2,3,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,-2,0,0,0
100706,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,1,8,-2,-2,.,-2,4,"102014","092015",1,1,-2,-2,2,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0
100724,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,1,8,-2,-2,.,-2,4,"102014","092015",1,1,-2,-2,2,-2,1,8,-2,-2,.,-2,1,0,0,0,0,1,1,1,1,0,0,0,1,0,-2,0,-2,0,0,0
100733,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,1,8,-2,-2,.,-2,1,2,-2,1,-2,1,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,1,8,-2,-2,.,-2,4,"102014","092015",1,1,-2,-2,3,-2,-2,-2,-2,-2,.,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2
100751,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,1,8,-2,-2,.,-2,4,"102014","092015",1,3,-2,-2,1,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,0
100760,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,-2,-2,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,1,8,-2,-2,.,-2,4,"102014","092015",1,1,-2,-2,2,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,-2,0,0,0
100812,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,-2,-2,-2,-2,.,-2,2,-2,-2,-2,-2,.,-2,1,8,-2,-2,.,-2,-2,-2,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,-2,-2,1,8,-2,-2,.,-2,4,"102014","092015",1,1,-2,-2,3,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,-2,-2,0,-2,0,0,0,0,-2,-2,-2,0,0,0
100830,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,1,8,-2,-2,.,-2,1,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,1,8,-2,-2,.,-2,4,"102014","092015",1,3,-2,-2,2,-2,1,8,-2,-2,.,-2,1,0,0,0,0,0,1,1,1,0,0,1,0,0,-2,1,-2,0,0,0
